id,title,type,appeared,creators,rank,file_extensions,indentation,users,jobs
pl-sql,PL/SQL,programming,1991,NA,147,pls bdy ddl fnc pck pkb pks plb plsql prc spc sql tpb tps trg vw,FALSE,2355,2972
pl360,PL360,programming,1967,Niklaus Wirth,923,NA,NA,60,0
plain-english,Plain English,programming,2018,Gerry Rzeppa and Dan Rzeppa,560,NA,NA,1,0
plb,Programming Language for Business,programming,1972,NA,945,NA,NA,115,0
please-build,Please Build,programming,2016,NA,835,NA,NA,2587,0
plist,Property list,textMarkup,2012,NA,762,NA,NA,540,0
plot,plot,template,2019,John Sundell,867,NA,NA,2138,0
plpgsql,PL/pgSQL,programming,1998,Jan Wieck,259,pgsql sql,NA,490,0
pod,Pod,textMarkup,1997,NA,325,pod,NA,375,0
pogoscript,PogoScript,programming,2011,NA,803,pogo,NA,356,0
pony,Pony,programming,2012,NA,217,pony,NA,7417,0
pop-11,Pop-11,programming,1999,NA,683,NA,NA,110,0
pop-protocol,Post Office Protocol,protocol,1957,NA,844,NA,NA,2425,0
postcss,PostCSS,textMarkup,2013,NA,216,pcss postcss,FALSE,31123,0
postgresql,PostgreSQL,queryLanguage,1986,Marc G. Fournier,23,NA,FALSE,340751,13084
postscript,PostScript,textMarkup,1982,John Warnock and Chuck Geschke and Doug Brotz and Ed Taft and Bill Paxton,107,ps eps epsi pfa,FALSE,2585,0
pov-ray-sdl,POV-Ray SDL,programming,1991,Chris Cason,263,pov inc,FALSE,2169,0
powerbasic,PowerBASIC,programming,1989,NA,716,NA,FALSE,235,0
powerbuilder,PowerBuilder,programming,2010,NA,345,pbt sra sru srw,FALSE,965,0
powerpc,PowerPC,isa,1992,NA,69,NA,NA,9126,59
powershell,PowerShell,programming,2006,Jeffrey Snover,27,ps1 psd1 psm1,FALSE,208708,19576
praat-script,Praat Script,programming,1997,NA,744,NA,FALSE,1502,0
processing,Processing,programming,2001,NA,148,pde,FALSE,2366,0
progsbase,progsbase,programming,2018,Martin F. Johansen,517,NA,FALSE,1001,0
prolog,Prolog,programming,1972,Alain Colmerauer,38,pl pro prolog yap,FALSE,51482,446
prometheus,PROMETHEUS,programming,2012,Matt T. Proud,557,NA,NA,69466,0
protobuf,Protocol Buffers,idl,2008,NA,135,proto,FALSE,2416,94
providex,ProvideX,programming,1992,Michael F. King,640,NA,NA,110,0
prql,PRQL,queryLanguage,2022,Maximilian Roos,378,NA,FALSE,4476,0
pug,Pug,template,2010,Tj Holowaychuk,113,jade pug,TRUE,26938,0
punched-tape,Punched tape,notation,1943,NA,352,NA,NA,1000,0
puppet,Puppet,programming,2005,NA,291,pp,NA,3200,0
pure,Pure,programming,2008,Albert Gräf,881,NA,NA,176,0
purebasic,PureBasic,programming,1998,NA,119,pb pbi,FALSE,426,0
puredata,Pure Data,programming,1996,NA,430,pd,NA,706,0
purescript,PureScript,programming,2013,Phil Freeman,138,purs,TRUE,10706,0
pyret,pyret,programming,2011,Joe Gibbs Politz,631,NA,NA,1241,0
python,Python,programming,1991,Guido van Rossum,3,py cgi fcgi gyp gypi lmi py3 pyde pyi pyp pyt pyw rpy smk spec tac wsgi xpy,TRUE,2818037,46976
q,Q,programming,2003,Arthur Whitney,337,q,NA,765,0
qalb,Qalb,programming,2012,Ramsey Nasser,800,NA,NA,1023,0
qb64,QB64,programming,2007,NA,518,NA,FALSE,470,0
qbasic,QBasic,programming,1991,NA,222,NA,NA,1910,0
qmake,QMake,programming,2002,NA,639,pro pri,NA,375,0
qml,QML,programming,2009,NA,205,qml qbs,FALSE,1131,0
qr-code,QR code,barCodeFormat,1994,NA,577,NA,NA,32095,0
query-by-example,Query by Example,programming,1969,NA,866,NA,NA,700,0
quickbasic,QuickBASIC,programming,1985,NA,374,NA,NA,475,0
r,R,programming,1993,Ross Ihaka and Robert Gentleman,15,r rd rsx,FALSE,1075613,14173
racket,Racket,programming,1994,Matthias Felleisen and Matthew Flatt and Robert Bruce Findler and Shriram Krishnamurthi,74,rkt rktd rktl scrbl,FALSE,7353,48
ragel,Ragel,programming,2007,NA,453,rl,FALSE,373,0
raku,Raku,programming,2019,Larry Wall,869,6pl 6pm nqp p6 p6l p6m pl pl6 pm pm6 raku rakumod t,FALSE,16,0
raml,RAML,yamlFormat,2013,NA,251,raml,NA,6541,0
rant,rant,programming,2014,NA,782,NA,NA,3350,0
rascal,Rascal,grammarLanguage,2013,NA,685,rsc,NA,775,0
ratfor,RATFOR,programming,1976,NA,500,NA,NA,126,0
ravenscar-profile,Ravenscar profile,programming,1997,NA,770,NA,NA,100,0
rdf,RDF,dataNotation,1997,NA,144,NA,NA,4096,0
rdfa,RDFa,xmlFormat,2004,NA,410,NA,NA,7116,0
rdoc,RDoc,textMarkup,2004,NA,305,rdoc,NA,271,0
readable,Readable,textMarkup,2018,Lépine Kong,592,NA,NA,12,0
reason,Reason,programming,2016,NA,58,re rei,FALSE,11216,0
rebol,REBOL,programming,1997,Carl Sassenrath,153,reb r r2 r3 rebol,FALSE,326,0
red,Red,programming,2011,Nenad Rakocevic,111,red reds,FALSE,6608,0
refal,Refal,programming,1968,Valentin Turchin,756,NA,FALSE,101,0
regex,Regular Expressions,queryLanguage,1951,NA,55,regexp regex,FALSE,23343,0
reia,Reia,programming,2008,NA,458,NA,NA,899,0
renderscript,RenderScript,programming,2011,NA,759,rs rsh,FALSE,181,0
renpy,Ren'Py,programming,2004,NA,450,rpy,FALSE,870,0
rest,REST,protocol,1996,NA,77,NA,NA,24190,26215
restructuredtext,reStructuredText,textMarkup,2002,David Goodger,252,rst rest resttxt rsttxt,TRUE,1025,0
reverse-polish-notation,Reverse Polish notation,notation,1953,NA,168,NA,NA,4200,0
rexx,Rexx,programming,1979,Mike Cowlishaw,115,rexx pprx rex,FALSE,435,40
rfc,RFC,notation,1969,Steve Crocker,186,NA,NA,3520,0
rholang,Rholang,contractLanguage,2016,NA,668,NA,NA,2325,13
ring,Ring,programming,2016,Mahmoud Fayed,468,ring,FALSE,431,0
risc-v,RISC-V,isa,2010,NA,437,NA,NA,2140,0
rmarkdown,RMarkdown,textMarkup,2014,JJ Allaire,402,qmd rmd,NA,5472,0
robomind,RoboMind,programming,2005,NA,565,NA,NA,106,0
robotframework,RobotFramework,programming,2013,NA,232,robot,NA,13218,0
roc,Roc,programming,2020,Richard Feldman,900,NA,NA,1860,0
rockstar,Rockstar,esolang,2018,Dylan Beattie,664,NA,NA,71,0
roff,ROFF,textMarkup,1971,Joe Ossanna and Ken Thompson,821,roff 1 1in 1m 1x 2 3 3in 3m 3p 3pm 3qt 3x 4 5 6 7 8 9 l man mdoc me ms n nr rno tmac,NA,220,0
roku-brightscript,Brightscript,programming,2010,NA,855,brs,FALSE,200,0
ron,Ron,dataNotation,2015,Juniper Tyree,475,NA,FALSE,2340,0
roy,roy,programming,2011,Brian McKenna,944,NA,NA,1054,0
rpl,RPL,programming,1984,NA,491,NA,NA,280,0
rtp-protocol,Real-time Transport Protocol,protocol,1996,NA,788,NA,NA,3325,0
ruby,Ruby,programming,1995,Yukihiro Matsumoto,12,rb builder eye fcgi gemspec god jbuilder mspec pluginspec podspec prawn rabl rake rbi rbuild rbw rbx ru ruby spec thor watchr,FALSE,357730,11438
runoff,RUNOFF,textMarkup,1965,NA,545,rnh rno,NA,200,0
rust,Rust,programming,2010,Graydon Hoare,25,rs rsin,FALSE,302193,141
rust-mir,Rust MIR,ir,2016,NA,574,NA,FALSE,1,0
s,S,programming,1976,NA,333,NA,NA,1426,0
s-algol,S-algol,programming,1979,NA,285,NA,FALSE,65,0
s-expressions,S-expressions,dataNotation,1960,NA,233,NA,NA,1575,0
s3,S3,programming,1986,NA,619,NA,FALSE,60,0
sagemath,Sage,programming,2005,NA,83,sage sagews,FALSE,1116,0
saltstack,SaltStack,programming,2011,Thomas S Hatch,373,sls,NA,28719,0
sam-format,SAM file format,textDataFormat,2009,NA,620,NA,NA,855,0
saml,Security Assertion Markup Language,xmlFormat,2001,NA,721,NA,NA,5310,0
sas,SAS,programming,1976,Anthony James Barr,35,sas,FALSE,361103,4682
sass,Sass,stylesheetLanguage,2006,Hampton Lintorn-Catlin,257,sass,TRUE,3241,0
sather,Sather,programming,1990,Steve Omohundro,435,NA,FALSE,126,0
scala,Scala,programming,2004,Martin Odersky,20,scala kojo sbt sc,FALSE,139471,4525
scala-js,Scala.js,programming,2013,Martin Odersky,377,NA,NA,5674,0
scheme,Scheme,programming,1970,Guy Steele and Gerald Jay Sussman,49,scm sch sld sls sps ss,FALSE,3796,1174
scilab,Scilab,programming,1990,NA,207,sci sce tst,FALSE,1290,0
score,score,programming,2013,NA,987,NA,NA,1343,0
scratch,Scratch,visual,2002,NA,96,NA,NA,16942,0
scss,SCSS,stylesheetLanguage,2006,Hampton Lintorn-Catlin,858,scss,TRUE,201,0
sed,sed,programming,1974,Lee E. McMahon,140,sed,NA,1865,0
seed7,Seed7,programming,2005,Thomas Mertes,354,NA,FALSE,206,0
self,Self,programming,1987,David Ungar,267,self,FALSE,461,0
semver,Semantic Versioning,schema,2011,Tom Preston-Werner,635,NA,NA,8383,0
setl,SETL,programming,1969,Jacob T. Schwartz,384,NA,FALSE,191,0
sgml,SGML,textMarkup,1986,NA,298,NA,NA,1940,0
shaderlab,ShaderLab,programming,2000,NA,703,shader,FALSE,200,0
shakespeare,Shakespeare,esolang,1993,NA,414,NA,NA,521,0
shakespeare-programming-language,Shakespeare,programming,2001,NA,934,NA,NA,195,0
sheep-lang,Sheep,programming,2000,Wouter Van Oortmerssen,982,NA,TRUE,1,0
shen,Shen,programming,2011,Mark Tarver,840,shen,NA,201,0
si,SI,notation,1960,NA,223,NA,NA,14430,0
sile,sile,textMarkup,2012,NA,967,NA,NA,1450,0
simcode,SimCode,programming,1997,NA,817,NA,FALSE,25,0
simple-binary-encoding,Simple Binary Encoding,programming,2013,NA,580,NA,NA,29189,0
simula,Simula,programming,1965,Ole-Johan Dahl,137,NA,FALSE,1110,0
simulink,Simulink,programming,1984,NA,294,NA,NA,1516,0
sinclair-basic,Sinclair BASIC,programming,1979,Steve Vickers,921,NA,NA,235,0
sizzle,sizzle,queryLanguage,2008,NA,630,NA,NA,9096,0
skip,skip,programming,2018,NA,765,NA,NA,2127,0
skulpt,skulpt,programming,2009,Scott Graham,707,NA,NA,5797,0
slash,Slash,programming,2012,NA,401,sl,NA,658,0
slice,Slice,programming,2011,NA,808,ice,FALSE,200,0
slim-lang,Slim,template,2011,NA,196,slim,NA,6818,0
slope,Slope,programming,2021,Sloum,533,NA,FALSE,1001,0
smali,Smali,assembly,2010,NA,92,smali,FALSE,8729,0
smallbasic,SmallBASIC,programming,2001,NA,856,NA,NA,331,0
smalltalk,Smalltalk,programming,1972,Alan Kay and Dan Ingalls and Adele Goldberg,76,st cs,FALSE,5400,0
smarty,Smarty,template,2006,Monte Ohrt and Messju Mohr and Uwe Tews,446,tpl,NA,586,0
smiles-format,Smiles,textDataFormat,1988,NA,873,NA,NA,2085,0
smt,SMT,programming,2003,NA,891,smt2 smt,FALSE,201,0
smtp,SMTP,protocol,1982,NA,98,NA,NA,13330,0
snobol,SNOBOL,programming,1962,David J. Farber and Ralph E. Griswold,245,NA,FALSE,341,0
soap,SOAP,xmlFormat,1998,Dave Winer and Don Box and Bob Atkinson and Mohsen Al-Ghosein,84,NA,NA,10535,7493
solidity,Solidity,contractLanguage,2014,Christian Reitwiessner and Alex Beregszaszi,56,sol,FALSE,31940,937
souper,souper,optimizingCompiler,2014,NA,859,NA,NA,2233,0
sourcepawn,SourcePawn,programming,2014,NA,441,sp inc,FALSE,599,0
sparc,SPARC,isa,1987,NA,177,NA,NA,2175,0
spark,SPARK,programming,1988,NA,336,NA,NA,1990,0
sparql,SPARQL,queryLanguage,2008,NA,228,sparql rq,NA,2165,0
spatial,Spatial,programming,2018,David Koeplinger,899,NA,FALSE,317,0
speakeasy,Speakeasy,programming,2006,Stanley Cohen,804,NA,NA,96,0
speedcoding,Speedcoding,programming,1953,John Backus,853,NA,NA,335,0
speedie,Speedie,programming,2022,Theodore H Smith,334,spd scproj,TRUE,1,0
spider,spider,programming,2014,Alon Gubkin,970,NA,NA,1440,0
spin,Spin,programming,2006,NA,591,spin,TRUE,200,0
spry,spry,programming,2015,Göran Krampe,898,NA,FALSE,449,0
spss,SPSS,programming,1968,NA,103,NA,FALSE,965674,9587
sql,SQL,queryLanguage,1974,Donald D. Chamberlin and Raymond F. Boyce,4,sql cql ddl inc mysql prc tab udf viw,FALSE,7179119,219617
sql-92,SQL-92,programming,1992,NA,593,NA,NA,545,0
sql-psm,SQL/PSM,programming,1996,NA,784,NA,NA,225,0
sqlalchemy,Sqlalchemy,queryLanguage,2006,Michael Bayer,559,NA,NA,65022,0
sqlite,SQLite,queryLanguage,2000,Dwayne Richard Hipp,110,NA,NA,5610,561
sqlpl,SQLPL,programming,2009,NA,609,sql db2,NA,370,0
squeak,Squeak,programming,1996,NA,413,NA,NA,576,0
squirrel,Squirrel,programming,2003,Alberto Demichelis,167,nut,FALSE,1688,0
srecode-template,SRecode Template,textMarkup,2000,NA,913,srt,FALSE,200,0
srl,SRL,queryLanguage,2016,Karim Geiger,882,NA,NA,2027,0
ssharp,Script.NET,programming,2007,NA,860,NA,FALSE,366,0
ssi,SSI,template,2004,NA,854,NA,NA,740,0
stan,Stan,programming,2012,NA,740,stan,NA,561,0
standard-ml,Standard ML,programming,1990,NA,150,ml fun sig sml,FALSE,1726,0
starlark,starlark,programming,2018,Laurent Le Brun,387,bzl star,FALSE,1708,0
staroffice-basic,StarOffice Basic,programming,2000,NA,730,NA,FALSE,45,0
stata,Stata,programming,1985,William Gould,241,do ado doh ihlp mata matah sthlp,FALSE,2816,0
stencil,Stencil,template,2018,Kyle Fuller,824,NA,NA,2785,0
storyscript,storyscript,programming,2017,NA,776,NA,FALSE,404,0
streem,Streem,programming,2014,Yukihiro Matsumoto,717,NA,NA,5376,0
strips,Strips,programming,1969,NA,880,NA,FALSE,615,0
stutter-lang,Stutter,esolang,2018,NA,953,NA,NA,10,0
stylus,Stylus,stylesheetLanguage,2010,TJ Holowaychuk,419,styl,TRUE,391,0
sugarss,SugarSS,textMarkup,2016,Andrey Sitnik,750,sss,FALSE,977,0
supercollider,SuperCollider,programming,1996,NA,238,sc scd,FALSE,801,0
superjson,Superjson,dataNotation,2014,Matthew Mueller,929,NA,NA,1623,0
svelte,Svelte,programming,2019,Rich Harris,556,NA,NA,70695,0
svg,SVG,textMarkup,2001,NA,130,svg,FALSE,6405,0
svgbob,svgbob,textMarkup,2016,Jovansonlee Cesar,779,NA,NA,3478,0
swallow,Swallow,programming,2021,Saptak,914,NA,NA,1708,0
sweetjs,Sweet.js,programming,2012,Tim Disney,722,NA,NA,5219,0
swi-prolog,SWI Prolog,programming,1987,NA,417,NA,NA,1504,0
swift,Swift,programming,2014,Chris Lattner,22,swift,FALSE,362590,3754
swift-il,SIL,ir,2012,NA,489,NA,FALSE,1,0
symbol,SYMBOL,programming,1971,NA,275,NA,NA,6050,0
synchronized-multimedia-integration-language,SMIL,programming,1997,NA,663,NA,NA,525,0
sysml,SysML,programming,2000,NA,613,NA,NA,890,0
systemverilog,SystemVerilog,programming,2002,NA,236,sv svh vh,FALSE,1345,0
t,T,programming,1980,NA,874,NA,NA,125,0
taichi,Taichi,programming,2019,Yuanming Hu,530,NA,FALSE,26221,0
tap,TAP,protocol,1988,NA,966,NA,NA,429,0
tap-code,Tap code,notation,1941,NA,725,NA,NA,1080,0
tcl,Tcl,programming,1988,John Ousterhout,52,tcl adp tclin tm,FALSE,3106,0
tcp,TCP,protocol,1974,NA,95,NA,NA,16700,0
tea,Tea,programming,1997,NA,688,tea,FALSE,291,0
teco,TECO,programming,1963,NA,988,NA,NA,235,0
telcomp,TELCOMP,programming,1966,NA,772,NA,NA,50,0
telnet-protocol,Telnet,protocol,1969,NA,661,NA,NA,6990,0
ternary-notation,Ternary numeral system,notation,2001,NA,906,NA,NA,1785,0
terra,Terra,programming,2012,NA,165,t,FALSE,3195,0
tex,Tex,programming,1978,NA,131,tex aux bbx cbx cls dtx ins lbx ltx mkii mkiv mkvi sty toc,FALSE,4276,3
textile,Textile,textMarkup,2002,netcarver,473,textile,NA,1129,0
thinbasic,ThinBasic,programming,2004,NA,610,NA,FALSE,95,0
thrift,Thrift,idl,2007,NA,367,thrift,NA,1626,0
thymeleaf,Thymeleaf,template,2011,NA,611,NA,NA,440,0
ti-basic,TI-BASIC,programming,1970,NA,670,NA,NA,515,0
ti-basic-assembly,TI Program,assembly,1970,NA,907,8xp 8xk 8xktxt 8xptxt,NA,0,0
tiddlywiki,TiddlyWiki,wikiMarkup,2004,NA,645,NA,NA,785,0
tiledb,tiledb,database,2017,NA,904,NA,NA,1824,0
tiny-basic,Tiny BASIC,programming,1975,Dennis Allison,451,NA,NA,760,0
tiscript,TIScript,programming,2007,Andrew Fedoniouk,836,NA,NA,2550,0
tl,Typed Lua,programming,2019,NA,975,NA,NA,1415,0
tla,TLA,programming,1999,Leslie Lamport,274,tla,FALSE,1055,0
tls,TLS,protocol,1999,NA,89,NA,NA,24595,0
toffeescript,ToffeeScript,programming,2013,Miao Jiang,687,NA,NA,6130,0
toml,TOML,dataNotation,2013,Tom Preston-Werner,193,toml,FALSE,19852,0
tornado,tornado,template,2009,NA,460,NA,NA,37044,0
touch,Touch,textMarkup,2020,NA,996,NA,NA,16,0
transact-sql,Transact-SQL,queryLanguage,1984,NA,380,NA,FALSE,1515,0
treelang,Treelang,programming,1988,NA,939,NA,FALSE,30,0
treenotation,Tree Notation,dataNotation,2017,Breck Yunits,699,NA,TRUE,409,0
treesheets,TreeSheets,visual,2019,Wouter van Oortmerssen,418,NA,NA,2372,0
triton,Triton,programming,2021,Philippe Tillet,621,NA,NA,4794,0
troff,Troff,textMarkup,1973,NA,507,NA,NA,541,0
true-basic,True BASIC,programming,1983,John George Kemeny and Thomas Eugene Kurtz,421,NA,FALSE,135,0
tsv,TSV,dataNotation,1993,NA,570,tsv,NA,1015,0
turbo-assembler,Turbo Assembler,programming,1989,NA,818,NA,NA,365,0
turbo-basic,Turbo Basic,programming,1987,NA,723,NA,FALSE,80,0
turing,Turing,programming,1982,Ric Holt,204,t tu,FALSE,525,0
turtle,Turtle,dataNotation,2011,NA,231,ttl,NA,2930,0
twig,Twig,template,2009,NA,355,twig,NA,611,0
txl,TXL,programming,1985,James Cordy,432,txl,NA,265,0
txt2tags,Txt2tags,textMarkup,2001,Aurelio Jargas and Florent Gallaire and Jendrik Seipp,986,NA,NA,61,0
type-language,Type Language,programming,2013,NA,933,tl,FALSE,200,0
typescript,TypeScript,programming,2012,Anders Hejlsberg,31,ts cts mts,FALSE,216959,1542
ubasic,UBASIC,programming,1991,NA,946,NA,NA,70,0
uberscript,UberScript,programming,2011,James Strachan,696,NA,NA,6036,0
ucl,UCL,dataNotation,2013,NA,763,NA,NA,1861,0
ucsd-pascal,UCSD Pascal,programming,1978,NA,671,NA,NA,300,0
udp,UDP,protocol,1980,NA,116,NA,NA,8860,35
uml,UML,xmlFormat,1996,NA,82,NA,NA,11035,0
umple,Umple,programming,2008,NA,780,NA,NA,931,0
unicon,Unicon,programming,2008,Clint Jeffery,478,NA,FALSE,116,0
unified-diff,Unified Diff,diffFormat,1990,Wayne Davison,947,NA,NA,0,0
unified-parallel-c,UPC,programming,2003,NA,695,upc,NA,411,0
unison,unison,programming,2015,NA,400,NA,FALSE,5176,0
unity,UNITY,programming,1988,NA,798,NA,NA,210,0
unlambda,UNLAMBDA,esolang,1999,David Madore,519,NA,FALSE,226,0
uno,Uno,programming,2002,NA,544,uno,NA,337,0
up-arrow-notation,Up-arrow notation,notation,1976,Donald Knuth,586,NA,NA,1765,0
url,URL,schema,1994,Tim Berners-Lee,133,NA,NA,17850,0
urweb,UrWeb,programming,2008,NA,349,ur urs,FALSE,1131,0
utc-format,UTC,timeFormat,1960,NA,596,NA,NA,19765,0
v,V,programming,2019,Alexander Medvednikov,143,v,FALSE,36606,0
vala,Vala,programming,2006,NA,200,vala vapi,FALSE,1171,0
vba,VBA,programming,1993,NA,54,bas cls frm frx vba,NA,3650,511
vbscript,VBScript,programming,1996,NA,125,vbs,FALSE,3347,142
vcf-format,VCF,textDataFormat,2011,NA,879,NA,NA,655,0
velato,Velato,esolang,2009,NA,554,NA,NA,0,0
verilog,Verilog,hardwareDescriptionLanguage,1984,NA,57,v veo,FALSE,5176,246
verona,verona,programming,2019,NA,755,NA,NA,3825,0
vhdl,VHDL,hardwareDescriptionLanguage,1983,NA,88,vhdl vhd vhf vhi vho vhs vht vhw,FALSE,6245,0
vhdl-ams,VHDL-AMS,programming,1993,NA,973,NA,FALSE,185,0
vigil,Vigil,esolang,2013,Bob Nystrom,825,NA,FALSE,2767,0
vim-script,Vim script,programming,1991,NA,422,vim vba vimrc vmb,NA,240,0
vimwiki,Vimwiki,wikiMarkup,2008,Maxim Kim,627,NA,NA,9204,0
visual-basic,Visual Basic,programming,1991,NA,46,NA,FALSE,15898,3294
visual-basic.net,Visual Basic .NET,programming,2001,NA,108,vb vbhtml,FALSE,5691,3447
visual-foxpro,Visual FoxPro,programming,1995,NA,304,NA,NA,1461,0
visual-prolog,Visual Prolog,programming,1996,NA,643,NA,NA,210,0
vml,VML,xmlFormat,1998,NA,778,NA,NA,935,0
volt,Volt,programming,2011,NA,579,volt,FALSE,365,0
vrml,VRML,programming,1994,NA,493,NA,NA,870,0
vyper,vyper,programming,2016,NA,702,vy,NA,5899,0
walt,walt,programming,2017,NA,726,NA,NA,5029,0
wasm,WebAssembly,bytecode,2015,Alon Zakai,114,wast wat,NA,8291,5
wasp-lang,Wasp,programming,2019,Martin Šošić,890,NA,NA,1972,0
wdl,WDL,programming,2012,NA,442,wdl,FALSE,1511,0
web-idl,WebIDL,idl,2012,NA,767,webidl,FALSE,445,0
whiley,Whiley,programming,2009,David J. Pearce,731,whiley,FALSE,373,0
whitespace,Whitespace,esolang,2003,NA,261,NA,NA,1650,0
whois-protocol,WHOIS,protocol,1970,NA,883,NA,NA,2010,0
winxed,winxed,programming,2009,NA,877,NA,FALSE,49,0
wireless-markup-language,WML,xmlFormat,1998,NA,950,NA,NA,340,0
wisp,wisp,programming,2012,Santosh Rajan and Irakli Gozalishvili and LeXofLeviafan and Chris McCormick,330,wisp,TRUE,1381,0
wml,WML,template,2006,NA,771,NA,NA,66,0
wolfram,Wolfram Language,programming,1988,Stephen Wolfram,332,NA,FALSE,1626,0
wren,Wren,programming,2013,Bob Nystrom,277,wren,FALSE,7070,0
wsdl,WSDL,xmlFormat,2000,NA,254,NA,NA,2375,0
wxbasic,WxBasic,programming,2002,NA,415,NA,FALSE,45,0
x10,X10,programming,2004,Kemal Ebcioğlu and Saravanan Arumugam and Vijay Saraswat and Vivek Sarkar,202,x10,FALSE,376,0
x86-64-isa,x86-64,isa,2000,NA,329,NA,NA,41291,413
x86-assembly,x86 Assembly,assembly,1972,NA,188,s ms,FALSE,2350,0
x86-isa,X86,isa,1978,NA,79,NA,NA,7400,0
xaml,XAML,xmlFormat,2008,NA,185,NA,NA,202885,0
xbase,xBase,programming,1986,NA,214,prg ch prw,FALSE,425,0
xbasepp,XBase++,programming,1997,NA,381,NA,FALSE,115,0
xbl,XML Binding Language,xmlFormat,2000,NA,915,NA,NA,595,0
xc,XC,programming,2005,NA,918,xc,NA,375,0
xcard,xCard,xmlFormat,2011,NA,823,NA,NA,0,0
xetex,XeTeX,textMarkup,2004,NA,608,NA,NA,586,0
xhtml,XHTML,dataNotation,2000,NA,838,NA,NA,2525,0
xl-lang,XL,programming,2000,Christophe de Dinechin,741,NA,TRUE,387,0
xml,XML,dataNotation,1996,NA,7,xml adml admx ant axaml axml builds ccproj ccxml clixml cproject cscfg csdef csl csproj ct depproj dita ditamap ditaval dllconfig dotsettings filters fsproj fxml glade gml gmx grxml gst hzp iml ivy jelly jsproj kml launch mdpolicy mjml mm mod mxml natvis ncl ndproj nproj nuspec odd osm pkgproj pluginspec proj props ps1xml psc1 pt qhelp rdf res resx rs rss sch scxml sfproj shproj srdf storyboard sublime-snippet targets tml ts tsx ui urdf ux vbproj vcxproj vsixmanifest vssettings vstemplate vxml wixproj workflow wsdl wsf wxi wxl wxs x3d xacro xaml xib xlf xliff xmi xmldist xmp xproj xsd xspec xul zcml,FALSE,1917452,42277
xojo,Xojo,programming,1996,NA,297,xojo_code xojo_menu xojo_report xojo_script xojo_toolbar xojo_window,FALSE,596,0
xpath,XPath,queryLanguage,1999,NA,191,NA,NA,2395,0
xproc,XProc,programming,1990,NA,648,xpl xproc,NA,500,0
xquery,XQuery,programming,2007,NA,100,xquery xq xql xqm xqy,FALSE,1351,125
xs,XS,programming,2002,NA,353,xs,FALSE,285,0
xsd,XSD,dataValidationLanguage,2001,NA,992,NA,NA,1320,0
xslt,XSLT,xmlFormat,1998,NA,479,xslt xsl,FALSE,200,0
xtend,Xtend,programming,2011,Sven Efftinge and Sebastian Zarnekow,447,xtend,FALSE,321,0
xtext,Xtext,grammarLanguage,2006,NA,480,NA,NA,1713,0
xuml,XUML,programming,2002,NA,931,NA,NA,355,0
yacc,Yacc,grammarLanguage,1975,NA,71,y yacc yy,FALSE,3087,17
yaml,YAML,dataNotation,2001,NA,67,yml mir reek rviz sublime-syntax syntax yaml yaml-tmlanguage yamlsed ymlmysql,TRUE,13981,61
yara,YARA,programming,2008,Victor M. Alvarez,295,yar yara,NA,10113,0
yasnippet,YASnippet,textMarkup,2008,Zhang Chiyuan,365,yasnippet,FALSE,3593,0
yoix,Yoix,programming,2000,Rich Drechsler and John Mocenigo,605,NA,FALSE,65,0
yoptascript,YoptaScript,programming,2016,Sam Gozman,734,NA,NA,1986,0
yorick,Yorick,programming,1996,David H. Munro,757,NA,NA,91,0
z-machine,Z-machine,programming,1980,NA,932,NA,NA,355,0
z-notation,Z notation,notation,1974,NA,311,NA,NA,1705,0
z-shell,Z shell,programming,1990,Paul Falstad,576,NA,NA,1326,0
zephir,Zephir,programming,2013,Andres Gutierrez,199,zep,FALSE,4740,0
zephyr-asdl,zephyr-asdl,grammarLanguage,1997,NA,739,NA,FALSE,0,0
zig,Zig,programming,2015,Andrew Kelley,189,zig,NA,23492,0
zuo,Zuo,programming,2022,Matthew Flatt,674,NA,NA,6265,0
zz,zz,programming,2019,Arvid E. Picciani,801,NA,NA,1739,0